prefix,AUC,ACC,F1,Brier,ECE,Best_thr,prob_cov_unweighted,prob_cov_weighted,prob_cov_eps,prob_cov_bins,interval_level,predset_coverage,predset_avg_size,predset_ambiguous_rate,param_w_tan,param_w_rbf,param_w_mat,param_rbf_ls,param_mat_ls,param_nu,param_ck_scale,param_wk_noise,param_log_marginal_likelihood,combo
gpc_tan+rbf+mat,0.87725376161117,0.8291517323775388,0.8033012379642366,0.14740664319758684,0.1652298296572834,0.4681396478815642,0.0,0.0,0.05,10,0.9,1.0,1.990442054958184,0.990442054958184,1.3,0.5,0.5,2.0,2.0,1.5,1.0,0.0001,-524.85178842477,tan+rbf+mat
gpc_tan+mat,0.8640429598722625,0.7992831541218638,0.7666666666666667,0.1667067897026392,0.1485126492656888,0.4674883789860118,0.125,0.1445639187574671,0.05,10,0.9,1.0,1.994026284348865,0.994026284348865,1.3,0.5,0.5,0.5,2.0,1.5,1.5,0.0001,-520.2141491918417,tan+mat
gpc_tan+rbf,0.8632504283166863,0.7980884109916367,0.7642956764295676,0.166801470900948,0.1461281918952127,0.4716082039975617,0.125,0.1457586618876941,0.05,10,0.9,1.0,1.989247311827957,0.989247311827957,1.3,0.5,0.5,2.0,0.5,1.5,1.5,0.0001,-520.8573986350502,tan+rbf
gpc_tan,0.863130965839559,0.7825567502986858,0.7630208333333334,0.1652344492309648,0.1370243487970767,0.4364993988993149,0.125,0.1433691756272401,0.05,10,0.9,1.0,1.97610513739546,0.97610513739546,1.3,0.5,0.5,0.5,0.5,1.5,1.5,0.0001,-514.628226236259,tan
gpc_rbf+mat,0.8248650948124148,0.7789725209080047,0.7390691114245416,0.2282363872891517,0.217601709719092,0.5000113498718675,0.0,0.0,0.05,10,0.9,1.0,1.985663082437276,0.985663082437276,0.7,0.5,0.8,2.0,2.0,1.5,0.5,0.0001,-551.2843963522258,rbf+mat
gpc_mat,0.8247485460542417,0.7789725209080047,0.7368421052631579,0.2288337870384362,0.2222004305701136,0.5000173614103626,0.0,0.0,0.05,10,0.9,1.0,1.990442054958184,0.990442054958184,0.7,0.5,1.2,0.5,2.0,1.5,0.5,0.0001,-550.6254043001562,mat
gpc_rbf,0.798490110837869,0.7694145758661888,0.7088989441930619,0.2308204401963318,0.2098543518750183,0.5000198344089365,0.0,0.0,0.05,10,0.9,1.0,1.983273596176822,0.983273596176822,0.7,0.5,0.5,2.0,0.5,1.5,1.0,0.0001,-552.1707168522584,rbf
